availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
1,Chicago,4010906,Bobbie,4278818,2024-10-17,41.81873,-87.61387,5,Unique and Chic 2,Grand Boulevard,22,109.00,Entire home/apt
365,Chicago,4010906,Bobbie,4335812,2024-09-04,41.81793,-87.61291,5,Garden Suite,Grand Boulevard,13,114.00,Private room
0,Chicago,2907254,Joseph,4365466,2024-12-03,42.01653,-87.68788,1,01a. Full bed in Shared Space - Female Guests Only,West Ridge,121,18.00,Shared room
364,Chicago,1254363,Mark,1242709,2024-09-30,42.01938,-87.67985,7,Beautiful/Large SE Evanston Apt,Rogers Park,17,122.00,Entire home/apt
252,Chicago,7089017,Sharon,1304049,2024-08-11,41.86967,-87.68284,32,Private room near UIC Medical Dist.,Near West Side,125,45.00,Private room
282,Chicago,946954,Jeff,1321332,2024-09-22,41.93089,-87.66946,2,Lincoln Park Single Family Home,Lincoln Park,116,447.00,Entire home/apt
250,Chicago,3069675,Gabrielle,1356190,2025-03-10,41.91984,-87.68962,3,Logan Square Vintage Deluxe Private Suite & Bath,Logan Square,476,92.00,Private room
0,Chicago,7391164,Wrigley Hostel,1361421,2021-05-23,41.9459,-87.65461,32,Wrigley Hostel - Queen Bed Room,Lake View,40,,Private room
179,Chicago,7528098,Eileen,1392594,2024-08-07,41.96909,-87.67407,3,"Bright open house, garden & deck",Uptown,32,200.00,Entire home/apt
0,Chicago,2907254,Joseph,1461451,2025-01-05,42.01653,-87.68788,1,02b. Twin bed in Coed Space,West Ridge,209,18.00,Shared room
178,Chicago,10691960,Kayla,4370895,2022-06-06,41.90487,-87.62747,32,Sun-drenched Vintage Flat with a Lake view,Near North Side,96,271.00,Entire home/apt
77,Chicago,22810362,Anne,4394093,2023-08-19,41.95518,-87.66999,3,Private bed/bath in beautiful home,Lake View,36,85.00,Private room
0,Chicago,1096941,Angela,4417718,2024-12-14,41.96114,-87.70514,25,"Cozy, Bright Basement Guest Suite",Irving Park,27,75.00,Private room
122,Chicago,23128169,Jeanne,4457161,2025-02-16,41.95931,-87.67795,2,"Comfy 3BD/1BA, garage spot included",North Center,102,204.00,Entire home/apt
89,Chicago,2169532,Adam,4567558,2022-10-11,41.95501,-87.73814,32,2 Bedrooms are perfect for groups up to 3 guests,Irving Park,131,107.00,Private room
0,Chicago,23803571,Tomasso,4592031,2024-11-05,41.96574,-87.65747,1,UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S),Uptown,150,90.00,Private room
70,Chicago,1649647,Bianca,4598631,2023-04-01,41.9116,-87.66693,32,7 Beds 2 floor Apt : NO Parties,West Town,307,189.00,Entire home/apt
151,Chicago,1563534,Lizzie,4632510,2024-06-01,41.90376,-87.69556,32,Spacious two bedroom with patio!,West Town,163,,Entire home/apt
266,Chicago,33004,At Home Inn,1502674,2025-02-04,41.91175,-87.63834,4,The Biddle House (#2),Lincoln Park,143,120.00,Entire home/apt
0,Chicago,33004,At Home Inn,1502700,2019-09-02,41.91184,-87.63963,32,The Biddle House,Lincoln Park,16,431.00,Entire home/apt
364,Chicago,6088938,Eric,1554433,2024-08-06,41.71554,-87.67197,32,Charming Home in Chicago,Beverly,200,44.00,Private room
0,Chicago,8186262,April,1573401,2024-12-27,41.85592,-87.66249,2,Spacious & serene in hip spot. Sleeps 4.,Lower West Side,430,54.00,Private room
305,Chicago,2810938,Carole,1584422,2024-10-14,41.90532,-87.64761,3,Magic Factory Loft 2West,Near North Side,52,374.00,Entire home/apt
215,Chicago,8489460,Holly + Mark,1591370,2024-12-13,42.01177,-87.67758,2,Cozy Northside Apt near Trans&Beach&Free St Prking,Rogers Park,209,123.00,Entire home/apt
0,Chicago,24124115,Syed,4662201,2022-10-15,41.900188,-87.661751,32,"Great location, large space",West Town,28,115.00,Entire home/apt
102,Chicago,2892101,Justine,4730797,2024-08-22,41.92125,-87.70158,4,Home in Vibrant Logan Square,Logan Square,134,68.00,Private room
116,Chicago,2892101,Justine,4731523,2025-02-17,41.92286,-87.70154,4,A Cozy Room for Two in Vibrant Logan Square,Logan Square,98,53.00,Private room
1,Chicago,24676863,William,4786970,2023-11-10,41.90992,-87.67521,32,Large room in Art Gallery ((:,West Town,69,93.00,Private room
151,Chicago,24705990,Rick,4793938,2024-08-04,41.97106,-87.66777,3,"2BD/2BA w/ gourmet kitchen, private balcony & more",Uptown,91,251.00,Hotel room
323,Chicago,24267774,Barbara,4803582,2023-10-09,41.90596,-87.67569,32,Coach house Wicker Park- Bucktown,West Town,155,165.00,Entire home/apt
145,Chicago,24705990,Rick,4840199,2024-10-08,41.97095,-87.66798,3,Luxe 3BD/2BA with Fireplace and Private Balcony,Uptown,38,339.00,Entire home/apt
0,Chicago,24705990,Rick,4840753,2023-03-31,41.97106,-87.66777,3,Modern 1BR w/ private balcony and grill,Uptown,38,,Private room
208,Chicago,597871,Matt,4852830,2024-10-29,41.91233,-87.65146,3,Private bedroom in Lincoln Park,Lincoln Park,339,123.00,Private room
2,Chicago,8595700,Carin,1614802,2025-03-02,41.93455,-87.66141,4,"Contemporary, private suite w fireplace",Lake View,395,68.00,Entire home/apt
